ENS,Gene,SGPL1_Control.A,SGPL1_Control.B,SGPL1_Control.C,SGPL1_KO.A,SGPL1_KO.B,SGPL1_KO.C,SGPL1_OE.A,SGPL1_OE.B,SGPL1_OE.C
ENSG00000168389,MFSD2A,8.465304931,8.607017939,6.884579637,5.821362789,5.085800161,4.353466056,12.48401038,14.05524028,14.999148
ENSG00000205639,MFSD2B,3.365928084,1.716026581,1.321777377,2.5791907,2.420205891,2.29048562,1.356689277,2.107688313,1.87105327
ENSG00000167700,MFSD3,95.21136474,95.09300298,95.12589863,65.37834405,72.08945685,68.92518798,103.5794077,90.58141071,80.48421296
ENSG00000173214,MFSD4B,3.320229674,3.14831145,5.08741551,2.492044143,2.129642669,2.322292641,2.637003256,3.45142508,3.050719027
ENSG00000182544,MFSD5,42.42711302,48.06734618,39.69410159,44.99761037,44.26934498,47.90777241,43.66576699,41.09187352,43.71246235
ENSG00000151690,MFSD6,53.57557386,55.54100755,65.10495787,50.94716759,55.00275212,42.21162573,61.73838617,56.38902596,50.21422191
ENSG00000164073,MFSD8,4.963574274,4.920500069,5.143828963,7.453592874,6.738260018,4.743523503,5.972985022,3.965565141,4.879622585
ENSG00000135953,MFSD9,15.20552127,12.59995585,15.82873121,8.293029499,7.849504062,7.428779613,10.15425814,11.2637142,12.76462011
ENSG00000174197,MGA,9.017353945,10.01374679,9.663848539,3.827859432,3.442242282,5.898866655,10.37361221,10.92207012,8.611664875
ENSG00000257335,MGAM,4.887176272,4.524450009,3.885905181,1.718221436,2.558662599,2.835292314,3.068109992,2.172767774,1.083886958
ENSG00000131446,MGAT1,59.26199518,67.37054594,64.094235,57.49866396,58.41774682,55.1345923,78.18123098,71.95940402,72.46308869
ENSG00000168282,MGAT2,2.59338298,1.446118561,3.084589333,3.1478544,5.063685239,1.828632202,5.628554865,5.32853143,3.262265434
ENSG00000128268,MGAT3,3.455585384,2.531963443,1.350177579,0.833669112,1.694941339,0.75333989,1.304319632,0.598688205,0.503982159
ENSG00000071073,MGAT4A,2.482179843,2.147467054,1.71771548,2.420734817,1.488235566,1.697184239,2.791551617,4.45094951,2.694709341
ENSG00000161013,MGAT4B,144.5899797,177.0703827,177.885719,102.8311379,118.1947122,101.1898615,180.3512664,176.8381005,165.60231
ENSG00000152127,MGAT5,34.78030962,37.42956673,37.03380203,18.95021517,18.98766421,19.03154441,40.8655599,40.72766913,32.58738292
ENSG00000167889,MGAT5B,1.418520671,0.535699299,0.856990078,1.124443264,0.937894273,0.338698712,1.832553382,1.547715487,1.812707499
ENSG00000198408,MGEA5,79.57059564,81.61649001,80.95392928,46.33874083,52.02260563,47.91656726,94.42290094,95.05022025,76.81372416
ENSG00000074416,MGLL,4.367496928,7.058332191,4.423526892,2.715340529,2.325016474,1.978296045,8.244346648,9.506177365,9.233540974
ENSG00000125871,MGME1,56.52828034,73.62197588,65.12279509,53.35905814,47.87091615,44.95963527,63.03536791,68.93551863,71.00991156
ENSG00000170430,MGMT,18.5224542,21.06973794,22.68233597,29.69952065,30.41284197,24.97250463,17.78644249,16.59360167,23.37796955
ENSG00000102858,MGRN1,19.00055663,24.93080633,23.02261562,13.82047677,14.71005672,14.39778796,24.14039034,25.18111393,19.73680731
ENSG00000008394,MGST1,188.6555421,171.4914491,168.9941014,284.1877094,252.6213845,284.9855392,157.7291921,140.9541119,152.4059592
ENSG00000085871,MGST2,49.35562643,53.14050073,41.889983,79.11656538,70.07562662,74.07106998,31.39184742,36.87608863,39.82661815
ENSG00000143198,MGST3,29.48874044,27.73371556,25.92373699,35.56249656,34.96390528,37.23603672,28.77698723,22.16704048,24.05930211
ENSG00000232442,MHENCR,35.83263665,53.28251821,35.58809108,49.7071305,30.62426783,49.68151956,28.27979907,41.64592126,48.80799806
ENSG00000154305,MIA3,24.66663469,20.46205153,20.23825741,15.28703962,17.20623844,14.22559607,24.1187629,25.29816554,20.85813171
ENSG00000244625,MIATNB,1.280034796,1.489609457,1.117958582,1.235247118,1.062512744,0.418583756,2.053397875,1.275171782,1.008112662
ENSG00000101752,MIB1,59.29562232,62.21853961,64.15680728,42.37016833,42.69233642,38.5229866,72.24836138,68.09498768,51.29635202
ENSG00000197530,MIB2,20.03999943,22.91484763,21.55441971,13.4410324,14.89395255,13.30660586,24.43838174,26.63495842,25.89090927
ENSG00000204520,MICA,17.95522915,15.78438472,19.34136033,18.1715404,13.42554493,15.42970085,17.76896295,19.1244814,24.92534004
ENSG00000135596,MICAL1,18.62581891,17.39288219,14.31546742,8.112888557,9.102259809,6.853041906,16.21122636,15.00869804,14.2017988
ENSG00000133816,MICAL2,6.784534751,6.725658138,8.448149699,4.44184141,5.027815413,3.806850401,9.045253325,11.43625011,7.643927437
ENSG00000243156,MICAL3,5.735335096,6.626754758,8.235146188,2.006937172,2.589436913,2.404581277,8.662924994,9.22660442,5.914660878
ENSG00000100139,MICALL1,233.4699763,276.1579481,272.4137106,114.7629882,109.206477,109.0636528,285.3023261,295.5197784,233.629096
